page,product,source_name,source_url,source_basis,verification_date,status,notes
/products/best-air-fryers.html,Ninja Double Stack XL SL400UK,SharkNinja UK,https://www.sharkninja.co.uk/ninja-double-stack-xl-9-5l-air-fryer-sl400uk/SL400UK.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-air-fryers.html,Russell Hobbs Satisfry Large Air Fryer,Russell Hobbs UK,https://uk.russellhobbs.com/satisfry-airfryer-large-26510,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-air-fryers.html,Ninja CRISPi PRO 5-in-1 Glass Air Fryer Family Set AS090UKGN38,SharkNinja UK,https://www.sharkninja.co.uk/ninja-crispi-pro-5-in-1-glass-air-fryer---green-family-set/AS090UKGN38.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-bathroom-scales.html,Withings Body Smart,Withings UK,https://www.withings.com/en-uk/products/body-smart-black,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-bathroom-scales.html,Eufy Smart Scale P3,eufy UK,https://www.eufy.com/uk/products/t9150111,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-bathroom-scales.html,Garmin Index S2 Smart Scale,Garmin UK,https://www.garmin.com/en-GB/p/679362/,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-blenders.html,Braun TriForce PowerBlend 9,Braun Household UK,https://www.braunhousehold.com/en-gb/p/powerblend-9-jug-blender-powerblend-9-jug-blender-jb-9040-black/JB9040BK.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-blenders.html,Nutribullet 600 Series,Nutribullet UK,https://nutribullet.co.uk/collections/nutribullet-600,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-blenders.html,Vitamix A3500i,Vitamix UK,https://www.vitamixuk.com/product/a3500i/,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-bluetooth-speakers.html,Bose SoundLink Flex Portable Speaker (2nd Gen),Bose UK,https://www.bose.co.uk/p/speakers/bose-soundlink-flex-portable-speaker-2nd-gen/SLFLXII-SPEAKERWIRELESS.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-bluetooth-speakers.html,Anker Soundcore 3,Soundcore UK,https://www.soundcore.com/uk/products/a3117011,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-bluetooth-speakers.html,Sonos Move 2,Sonos UK,https://www.sonos.com/en-gb/shop/move-2,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-coffee-machines.html,Sage Barista Touch Impress with Cold Extraction,Sage UK,https://www.sageappliances.com/en-gb/product/bes882,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-coffee-machines.html,Philips Baristina,Philips/HomeID support,https://www.home.id/en-GB/BAR300,first-party support,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
