asset,asset_type,active_in_refreshed_site,source,licence_or_permission_basis,required_attribution,action,verification_date
Product_picture/Bathroom/Bathroom_scales/Etekcity_digital_body_weight_scale.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Bathroom/Bathroom_scales/Smart-Scale-P2.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Bathroom/Bathroom_scales/Withings_body-smart-black-kg.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Bathroom/Shower_heads/Cobbe Hard Water Filter Shower Head and Hose.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Bathroom/Shower_heads/Methven Aurajet AIO Shower Handset.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Bathroom/Shower_heads/Pulsify Select S Hand shower.png,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Bathroom/Toothbrushes/Oral B Pro 1 Electric Toothbrush.png,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Bathroom/Toothbrushes/Oral-B Vitality Pro Electric Toothbrush.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Bathroom/Toothbrushes/Oral-B iO 3 Black Electric Toothbrush.avif,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Home Comforts/De-humidifiers/DeLonghi Tasciugo AriaDry Multi Dehumidifier.avif,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Home Comforts/De-humidifiers/Meaco MeacoDry Arete Two 20L Dehumidifier & Air Purifier.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
